Rank,LastName,FirstName,Team,Pos,GP,TOI,GF,GA,GF60,GA60,GF%,TM GF60,TM GA60,TM GF%,GF60 RelTM,GA60 RelTM,GF% RelTM,GF60 Rel,GA60 Rel,GF% Rel,Opp GF60,Opp GA60,Opp GF%,SF,SA,Sh%,Sv%,PDO,TM Sh%,TM Sv%,Sh% RelTM,Sv% RelTM,Sh% Rel,Sv% Rel,Opp Sh%,Opp Sv%,CF,CA,CF60,CA60,CF%,CF60 RelTM,CA60 RelTM,CF% RelTM,CF60 Rel,CA60 Rel,CF% Rel,Opp CF60,Opp CA60,Opp CF%,CSh%,CSv%,CPDO,TM CSh%,TM CSv%,CSh% RelTM,CSv% RelTM,CSh% Rel,CSv% Rel,Opp CSh%,Opp CSv%,%ofTeam TOI,%ofTeam GF,%ofTeam GA,%ofTeam CF,%ofTeam CA,%ofTeam OZFO,%ofTeam DZFO,%ofTeam NZFO,G,A,FirstA,Pts,Pri. Pts,Shots,iCorsi,iSh%,iCSh%,Goals per60,Assists per60,FirstA per60,Points per60,Pri.Pts  per60,Shots per60,iCorsi per60,IGP,IAP,IPP,IPPP,TotFO,NZFO,DZFO,OZFO,NZFO%,DZFO%,OZFO%
597,WOODS, BRENDAN,Carolina,F(LW),7,55.5167,0,1,0,1.081,0,1.7936,2.4017,42.75,-1.7936,-1.321,-42.75,-1.4877,-1.8946,-33.33,2.0386,2.1714,48.42,27,18,0,94.4444,94.4444,6.7247,91.5085,-6.7247,2.9359,-5.1095,5.8266,7.2692,92.4379,41,43,44.311,46.473,48.81,-6.8961,-7.9676,0.34,-11.3711,-0.9211,-5.21,51.0324,52.7608,49.17,0,97.6744,97.6744,3.5027,95.5883,-3.5027,2.0861,-2.6718,3.9524,3.9946,95.8844,16.4332,0,6.6667,13.5314,16.1654,13.1313,16.4948,14.8148,0,0,0,0,0,8,9,0,0,0,0,0,0,0,8.6461,9.7268,0,0,0,0,45,16,16,13,35.5556,35.5556,28.8889
598,GAUNCE, BRENDAN,Vancouver,F(C),20,219.883,2,10,0.546,2.729,16.67,2.0183,2.4262,45.41,-1.4725,0.3025,-28.74,-1.4754,-0.1009,-25,2.2427,2.1976,50.51,108,124,1.8519,91.9355,93.7874,7.2528,92.4132,-5.401,-0.4777,-6.1354,-0.0919,7.7037,92.2935,203,213,55.393,58.122,48.8,3.7353,1.2053,1.22,4.5408,-3.3214,3.51,54.8699,53.8232,50.48,0.9852,95.3052,96.2904,3.907,95.7373,-2.9218,-0.4321,-2.9893,-0.0896,4.0873,95.917,22.8561,7.4074,22.2222,24.399,21.8911,17.8571,25,22.6537,1,0,0,1,1,30,47,3.333333333,2.127659574,0.2729,0,0,0.2729,0.2729,8.1862,12.825,50,0,50,50,203,70,78,55,34.4828,38.4236,27.0936
599,SHINKARUK, HUNTER,Calgary,F(C),8,101.15,1,5,0.593,2.966,16.67,2.2668,2.4088,48.48,-1.6736,0.5571,-31.81,-2.8619,0.2018,-38.89,2.186,2.133,50.61,44,39,2.2727,87.1795,89.4522,8.1066,91.5487,-5.8339,-4.3692,-9.9224,-2.9032,7.4809,92.4896,81,85,48.047,50.42,48.8,-4.8852,-5.4062,0.13,-5.3917,-5.783,0.06,55.7529,53.3534,51.1,1.2346,94.1176,95.3522,4.2824,95.6852,-3.0478,-1.5676,-5.2309,-0.9643,3.9208,96.0021,27.9703,6.25,29.4118,25.8786,25.8359,25.5556,38.6139,25.5319,1,0,0,1,1,11,20,9.090909091,5,0.5932,0,0,0.5932,0.5932,6.525,11.8636,100,0,100,100,98,36,39,23,36.7347,39.7959,23.4694
600,HALL, TAYLOR,Edmonton,F(LW),210,3206.32,147,146,2.751,2.732,50.17,1.9452,2.7289,41.62,0.8057,0.0032,8.55,1.0629,0.0332,11.69,2.2676,2.184,50.94,1582,1672,9.292,91.2679,100.5599,6.9466,90.9651,2.3454,0.3029,2.7747,0.057,7.7334,92.3605,2972,3122,55.615,58.422,48.77,2.4911,1.5809,0.46,5.5142,-0.2502,2.71,55.2413,53.9645,50.58,4.9462,95.3235,100.2697,3.6615,95.199,1.2846,0.1245,1.5772,-0.0766,4.1049,95.9529,31.963,43.3628,32.2296,34.2752,31.8702,36.3026,26.7361,34.9637,41,86,54,127,95,484,849,8.47107438,4.829210836,0.7672,1.6093,1.0105,2.3766,1.7777,9.0571,15.8874,27.89,58.5,86.39,64.63,3125,1251,847,1027,40.032,27.104,32.864
601,HAYES, JIMMY,Boston,F(RW),202,2369.97,92,100,2.329,2.532,47.92,2.2825,2.1872,51.07,0.0466,0.3445,-3.15,0.0549,0.2737,-2.26,2.1339,2.1912,49.34,1198,1236,7.6795,91.9094,99.5889,7.6945,92.4573,-0.015,-0.5479,0.2016,-0.2347,7.491,92.4429,2064,2169,52.254,54.912,48.76,-1.6399,2.1224,-1.76,-2.2545,2.0585,-2.01,53.4541,54.3867,49.57,4.4574,95.3896,99.847,4.2352,95.8568,0.2221,-0.4673,0.2851,-0.3384,3.9921,95.971,24.3556,24.7978,26.5252,23.5859,25.0665,24.7874,21.6612,21.4015,32,26,13,58,45,319,482,10.03134796,6.639004149,0.8101,0.6582,0.3291,1.4684,1.1393,8.0761,12.2027,34.78,28.26,63.04,48.91,2156,733,665,758,33.9981,30.8442,35.1577
602,CLENDENING, ADAM,Edmonton,D,50,684.05,33,23,2.895,2.017,58.93,2.1818,2.4462,47.14,0.7127,-0.4288,11.79,0.7696,-0.2876,10.96,2.1218,2.1683,49.46,349,359,9.4556,93.5933,103.0489,7.4964,91.7629,1.9592,1.8304,2.2163,1.2856,7.5104,92.4238,623,655,54.645,57.452,48.75,0.6799,2.1653,-0.65,-0.2076,3.1035,-1.48,53.4091,54.3149,49.58,5.297,96.4885,101.7855,4.043,95.5754,1.254,0.9132,1.423,0.7298,3.9727,96.0078,29.1089,35.8696,26.4368,29.0308,30.268,29.9013,22.7979,24.6851,1,7,1,8,2,55,111,1.818181818,0.900900901,0.0877,0.614,0.0877,0.7017,0.1754,4.8242,9.7361,3.03,21.21,24.24,6.06,584,196,176,212,33.5616,30.137,36.3014
603,COYLE, CHARLIE,Minnesota,F(C),234,3128.8,121,114,2.32,2.186,51.49,2.2247,2.0049,52.6,0.0957,0.1812,-1.11,0.1208,0.2169,-1.27,2.2484,2.206,50.48,1433,1457,8.4438,92.1757,100.6195,8.0119,92.5324,0.4319,-0.3567,0.4438,-0.5541,7.6805,92.3521,2682,2821,51.432,54.097,48.74,-0.4105,1.9596,-1.12,0.5953,1.1579,-0.25,54.991,54.1725,50.37,4.5116,95.9589,100.4705,4.2912,96.1545,0.2204,-0.1956,0.1847,-0.3213,4.0887,95.9278,27.9284,29.0168,30.0792,28.1634,28.366,27.568,26.9344,27.394,33,47,24,80,57,325,535,10.15384615,6.168224299,0.6328,0.9013,0.4602,1.5341,1.0931,6.2324,10.2595,27.27,38.84,66.12,47.11,2901,1047,912,942,36.091,31.4374,32.4716
604,GALIARDI, T.J.,Winnipeg,F(LW),100,1122.22,31,52,1.657,2.78,37.35,2.1831,2.437,47.25,-0.5256,0.3432,-9.9,-0.3986,0.4775,-9.82,2.1278,2.2126,49.02,481,510,6.4449,89.8039,96.2488,8.2445,91.6981,-1.7996,-1.8942,-0.831,-1.9022,7.3835,92.2787,962,1012,51.434,54.107,48.73,0.8804,-4.3192,2.35,-2.7958,-0.8791,-0.92,54.3902,54.0249,50.17,3.2225,94.8617,98.0842,4.3183,95.829,-1.0959,-0.9673,-0.5689,-0.9505,3.9122,95.9045,23.5264,19.8718,27.0833,22.5875,23.2377,21.8169,22.1374,21.5403,4,12,8,16,12,120,216,3.333333333,1.851851852,0.2139,0.6416,0.4277,0.8554,0.6416,6.4159,11.5486,12.9,38.71,51.61,38.71,994,358,319,317,36.0161,32.0926,31.8913
605,STALBERG, VIKTOR,NY Rangers,F(LW),170,1927.03,65,69,2.024,2.148,48.51,2.2144,2.112,51.18,-0.1905,0.0363,-2.67,-0.4612,-0.0154,-4.95,2.1781,2.2079,49.66,899,904,7.2303,92.3673,99.5976,7.6601,92.6545,-0.4298,-0.2872,-1.6639,-0.1221,7.5337,92.3408,1658,1745,51.623,54.332,48.72,-1.7818,-0.1437,-0.78,-0.365,-1.4735,0.49,54.3115,54.1844,50.06,3.9204,96.0458,99.9662,4.1463,96.123,-0.2259,-0.0771,-0.8597,-0.0767,4.0103,95.9252,23.282,19.8171,23.1544,23.1564,22.8075,21.1691,21.2538,23.2219,18,29,18,47,36,248,432,7.258064516,4.166666667,0.5604,0.9029,0.5604,1.4634,1.1209,7.7217,13.4507,27.69,44.62,72.31,55.38,1716,653,556,507,38.0536,32.4009,29.5455
606,RYAN, BOBBY,Ottawa,F(RW),229,3033.03,137,128,2.71,2.532,51.7,2.3798,2.2926,50.93,0.3303,0.2396,0.76,0.4478,0.2001,2.46,2.2342,2.2001,50.38,1519,1755,9.0191,92.7066,101.7257,7.8315,92.7536,1.1876,-0.047,1.4228,0.2128,7.6874,92.3882,2854,3006,56.458,59.465,48.7,-1.4411,3.8357,-2.3,0.2486,4.1,-1.68,54.4979,54.057,50.2,4.8003,95.7419,100.5422,4.1103,95.8789,0.69,-0.137,0.7755,-0.046,4.0996,95.9299,28.1429,31.9347,29.8368,28.2323,29.6099,32.9549,25.9788,28.7516,37,60,41,97,78,421,753,8.788598575,4.913678619,0.7319,1.1869,0.8111,1.9189,1.543,8.3283,14.896,27.01,43.8,70.8,56.93,3076,1117,856,1103,36.3134,27.8283,35.8583
607,STAAL, MARC,NY Rangers,D,229,3980.48,141,133,2.125,2.005,51.46,2.5494,2.0559,55.36,-0.424,-0.0511,-3.9,-0.5408,0.0811,-6.63,2.2256,2.2231,50.03,1895,1949,7.4406,93.176,100.6166,8.3712,92.8445,-0.9306,0.3315,-1.2502,-0.2929,7.6561,92.3259,3486,3674,52.546,55.38,48.69,-3.5315,1.0278,-2.09,-3.5616,-0.7531,-1.3,54.5748,54.0788,50.23,4.0448,96.38,100.4248,4.5461,96.2175,-0.5014,0.1624,-0.7071,-0.193,4.0781,95.8891,35.8868,30.8534,36.8421,34.3923,35.5766,30.0151,37.9269,37.3756,9,32,12,41,21,228,512,3.947368421,1.7578125,0.1357,0.4824,0.1809,0.618,0.3165,3.4368,7.7177,6.38,22.7,29.08,14.89,3674,1427,1255,992,38.8405,34.159,27.0005
608,STOLL, JARRET,Minnesota,F(C),231,2617.52,75,68,1.719,1.559,52.45,2.0923,1.9239,52.1,-0.3732,-0.3652,0.35,-0.6481,-0.3136,-3.39,2.1744,2.246,49.19,1130,1164,6.6372,94.1581,100.7953,6.9224,92.7858,-0.2852,1.3723,-1.0141,1.2679,7.6014,92.2672,2153,2269,49.352,52.011,48.69,-8.6532,2.1586,-5.09,-9.2,2.211,-5.35,53.7904,54.7672,49.55,3.4835,97.0031,100.4866,3.6071,96.1408,-0.1236,0.8623,-0.5596,0.7628,4.0423,95.899,23.836,18.5185,20.6687,20.8725,24.6336,21.328,31.2802,24.544,13,26,14,39,27,193,344,6.735751295,3.779069767,0.298,0.596,0.3209,0.894,0.6189,4.424,7.8853,17.33,34.67,52,36,2627,915,970,742,34.8306,36.9242,28.2451
609,BRODIE, TJ,Calgary,D,232,4453.52,173,170,2.331,2.29,50.44,2.1352,2.4987,46.08,0.1955,-0.2084,4.36,0.157,-0.2103,3.93,2.3191,2.224,51.05,1990,2016,8.6935,91.5675,100.261,7.9677,91.5277,0.7258,0.0397,0.4605,-0.0449,7.8039,92.2882,3850,4057,51.869,54.658,48.69,0.9486,-5.3412,2.78,1.388,-7.6813,3.95,55.8298,53.9648,50.85,4.4935,95.8097,100.3032,4.1932,95.8354,0.3003,-0.0257,0.1875,-0.179,4.1539,95.8789,39.6087,41.2888,37.5276,40.2593,36.5101,36.3472,43.4688,39.2538,9,54,24,63,33,224,527,4.017857143,1.707779886,0.1213,0.7275,0.3233,0.8488,0.4446,3.0178,7.1,5.2,31.21,36.42,19.08,4346,1536,1604,1206,35.3428,36.9075,27.7497
610,PYATT, TOM,Tampa Bay,F(C),27,276.8,10,10,2.168,2.168,50,2.3106,2.0637,52.82,-0.143,0.104,-2.82,-0.2902,0.4706,-9.15,2.1659,2.228,49.29,127,111,7.874,90.991,98.865,7.7604,92.6109,0.1136,-1.6199,-0.1413,-3.255,7.5656,92.4779,239,252,51.806,54.624,48.68,-3.618,1.9157,-2.58,-3.8456,0.1427,-1.86,53.5205,55.3021,49.18,4.1841,96.0317,100.2158,4.169,96.0847,0.0151,-0.053,-0.2323,-0.8533,4.0469,95.9712,21.258,19.2308,25.641,20.084,21.3018,21.2435,24.9292,17.161,3,4,2,7,5,27,48,11.11111111,6.25,0.6503,0.8671,0.4335,1.5173,1.0838,5.8526,10.4046,30,40,70,50,251,81,88,82,32.2709,35.0598,32.6693
611,BYRON, PAUL,Montreal,F(LW),166,1939.95,58,76,1.794,2.351,43.28,2.1964,2.3838,47.95,-0.4025,-0.0332,-4.67,-0.3965,-0.1173,-3.74,2.2203,2.2247,49.95,846,862,6.8558,91.1833,98.0391,8.093,91.857,-1.2372,-0.6737,-1.2276,-0.2629,7.6131,92.2966,1644,1733,50.847,53.599,48.68,-0.8725,-4.6018,1.63,-1.9591,-3.9836,0.85,54.7024,54.0916,50.28,3.528,95.6145,99.1425,4.2468,95.9042,-0.7188,-0.2897,-0.6199,-0.0997,4.0589,95.8872,24.2681,20.7885,23.3846,23.58,22.9749,22.4208,26.3099,26.6524,16,22,13,38,29,122,236,13.1147541,6.779661017,0.4949,0.6804,0.4021,1.1753,0.8969,3.7733,7.2992,27.59,37.93,65.52,50,2006,746,708,552,37.1884,35.2941,27.5174
612,MOORE, JOHN,New Jersey,D,204,2893,95,99,1.97,2.053,48.97,2.1128,2.1148,49.98,-0.1426,-0.0615,-1.01,-0.0707,-0.0406,-0.39,2.1347,2.201,49.24,1377,1468,6.8991,93.2561,100.1552,7.5976,92.5593,-0.6986,0.6968,-0.3014,0.7099,7.482,92.3857,2507,2644,51.994,54.836,48.67,0.1464,1.8666,-0.8,0.23,2.2003,-0.91,53.5912,54.2747,49.68,3.7894,96.2557,100.0451,4.0751,96.0075,-0.2857,0.2481,-0.1535,0.2336,3.9834,95.9448,29.7845,29.052,29.3769,29.8772,30.648,32.3268,24.1743,27.7593,6,21,8,27,14,223,504,2.69058296,1.19047619,0.1244,0.4355,0.1659,0.56,0.2904,4.625,10.4528,6.32,22.11,28.42,14.74,2538,918,710,910,36.1702,27.9748,35.855
613,MAYFIELD, SCOTT,NY Islanders,D,11,165.133,4,11,1.453,3.997,26.67,2.1072,2.3314,47.47,-0.6538,1.6654,-20.81,-0.3073,2.2361,-23.33,2.0399,2.1178,49.06,81,85,4.9383,87.0588,91.9971,7.1406,91.8391,-2.2023,-4.7803,-1.207,-6.5828,7.3055,92.7841,146,154,53.048,55.955,48.67,-1.9291,0.8047,-1.25,-5.2127,7.7777,-6.07,52.4569,54.6527,48.97,2.7397,92.8571,95.5968,3.8329,95.7727,-1.0932,-2.9155,-0.2823,-3.4884,3.8887,96.1249,30.5802,26.6667,50,28.6275,33.8462,25,39.4558,33.3333,1,0,0,1,1,11,23,9.090909091,4.347826087,0.3633,0,0,0.3633,0.3633,3.9968,8.3569,25,0,25,25,157,57,58,42,36.3057,36.9427,26.7516
614,STEMPNIAK, LEE,Boston,F(RW),226,2934.33,113,121,2.311,2.474,48.29,2.1688,2.1329,50.42,0.1418,0.3412,-2.13,0.349,0.4213,-0.57,2.2494,2.2076,50.47,1323,1413,8.5412,91.4367,99.9779,7.8647,92.4502,0.6765,-1.0135,1.1929,-1.1742,7.6962,92.3657,2482,2619,50.751,53.552,48.66,-0.7169,-0.3601,-0.18,1.2851,0.5282,0.39,54.877,54.1924,50.31,4.5528,95.3799,99.9327,4.2139,96.0437,0.3389,-0.6638,0.5872,-0.7486,4.0991,95.9264,27.1049,30.4582,30.9463,27.6146,27.3012,27.1052,27.8331,27.5797,35,44,21,79,56,351,605,9.971509972,5.785123967,0.7157,0.8997,0.4294,1.6154,1.1451,7.1771,12.3708,30.97,38.94,69.91,49.56,2768,1021,894,853,36.8858,32.2977,30.8165
615,ERIXON, TIM,Toronto,D,44,537.783,18,20,2.008,2.231,47.37,2.0307,2.4558,45.26,-0.0225,-0.2245,2.11,-0.0189,-0.9484,8.44,2.1286,2.2124,49.03,283,297,6.3604,93.266,99.6264,7.1224,92.025,-0.762,1.241,-0.7525,3.266,7.4955,92.3905,500,528,55.785,58.908,48.64,3.0771,3.2622,-0.01,3.954,2.2287,0.87,53.2243,54.5004,49.41,3.6,96.2121,99.8121,3.8528,95.5867,-0.2528,0.6254,-0.311,1.8222,3.9993,95.9405,26.2677,26.087,20,27.7162,27.0215,32.2275,20.146,22.5464,1,1,0,2,1,27,70,3.703703704,1.428571429,0.1116,0.1116,0,0.2231,0.1116,3.0124,7.8098,5.56,5.56,11.11,5.56,512,170,138,204,33.2031,26.9531,39.8438
616,THEODORE, SHEA,Anaheim,D,19,273.1,12,4,2.636,0.879,75,2.3037,2.1872,51.3,0.3327,-1.3084,23.7,-0.1553,-1.6241,22.27,2.1809,2.226,49.49,131,124,9.1603,96.7742,105.9345,7.8829,92.0986,1.2774,4.6756,0.5036,6.9703,7.5805,92.3811,233,246,51.19,54.046,48.64,-3.9468,0.98,-2.31,-7.6275,5.6251,-6.2,54.0681,54.7304,49.7,5.1502,98.374,103.5242,4.1782,95.8784,0.972,2.4956,0.4039,3.543,4.0335,95.9328,30.4669,29.2683,13.3333,27.6066,32.8438,32.7645,31.295,25.4545,1,4,3,5,4,12,33,8.333333333,3.03030303,0.2197,0.8788,0.6591,1.0985,0.8788,2.6364,7.2501,8.33,33.33,41.67,33.33,253,70,87,96,27.668,34.3874,37.9447
617,LEGWAND, DAVID,Buffalo,F(C),242,2423.1,80,102,1.981,2.526,43.96,2.153,2.2465,48.94,-0.172,0.2792,-4.98,-0.1199,0.2547,-4.1,2.155,2.1978,49.51,1139,1199,7.0237,91.4929,98.5166,7.5055,92.5254,-0.4818,-1.0325,-0.3067,-0.9422,7.5258,92.398,2067,2184,51.182,54.079,48.62,-2.0472,-0.979,-0.53,-1.444,-0.5103,-0.46,53.6266,54.215,49.73,3.8703,95.3297,99.2,4.0447,95.9198,-0.1743,-0.5902,-0.1217,-0.5102,4.0184,95.9462,20.9055,19.9501,22.7171,20.4491,20.7506,20.3282,21.3644,20.8504,14,34,18,48,32,212,351,6.603773585,3.988603989,0.3467,0.8419,0.4457,1.1886,0.7924,5.2495,8.6913,17.5,42.5,60,40,2281,814,761,706,35.6861,33.3626,30.9513
618,KOMISAREK, MIKE,Carolina,D,32,345.567,10,15,1.736,2.604,40,1.8949,2.1827,46.47,-0.1586,0.4217,-6.47,-0.8246,0.0937,-10.5,2.112,2.1843,49.16,162,189,6.1728,92.0635,98.2363,6.6303,92.4543,-0.4575,-0.3909,-2.1469,0.913,7.4967,92.4749,324,343,56.255,59.554,48.58,1.3909,4.4805,-1.33,-2.4449,6.3274,-3.87,53.0291,54.295,49.41,3.0864,95.6268,98.7132,3.4538,96.0368,-0.3673,-0.41,-1.2763,0.3438,3.9828,95.977,22.4328,16.3934,23.0769,21.7013,24.4476,22.5869,21.7759,17.7817,0,4,1,4,1,20,48,0,0,0,0.6945,0.1736,0.6945,0.1736,3.4726,8.3341,0,40,40,10,321,101,103,117,31.4642,32.0872,36.4486
619,WEISS, STEPHEN,Detroit,F(C),78,786.35,24,24,1.831,1.831,50,2.0779,2.1259,49.43,-0.2467,-0.2946,0.57,-0.5024,-0.1482,-4.11,2.1281,2.2403,48.72,344,380,6.9767,93.6842,100.6609,7.2719,92.3688,-0.2951,1.3154,-1.1392,1.1177,7.4275,92.3593,616,652,47.002,49.749,48.58,-5.3663,1.9382,-3.69,-6.1926,3.451,-4.89,53.7779,54.884,49.49,3.8961,96.319,100.2151,3.9679,95.5535,-0.0718,0.7655,-0.4909,0.5944,3.9572,95.9181,21.45,17.6471,20.1681,19.4383,22.6862,23.8757,21.0124,21.0039,7,11,6,18,13,59,97,11.86440678,7.216494845,0.5341,0.8393,0.4578,1.3734,0.9919,4.5018,7.4013,29.17,45.83,75,54.17,784,272,220,292,34.6939,28.0612,37.2449
620,CLEARY, DAN,Detroit,F(RW),69,697.883,13,29,1.118,2.493,30.95,2.1167,2.0911,50.3,-0.999,0.4022,-19.35,-1.4071,0.4448,-24.26,2.1362,2.2444,48.76,303,352,4.2904,91.7614,96.0518,7.5048,92.4817,-3.2144,-0.7203,-4.4482,-1.1017,7.4447,92.3414,572,606,49.177,52.1,48.56,-1.9965,3.7309,-2.85,-3.3429,2.6767,-2.96,53.8252,54.9578,49.48,2.2727,95.2145,97.4872,4.1363,95.6769,-1.8636,-0.4623,-2.5345,-0.6409,3.9687,95.9162,21.6942,10.9244,25.2174,20.5978,22.6035,24.0741,21.9745,21.4869,5,3,2,8,7,68,112,7.352941176,4.464285714,0.4299,0.2579,0.1719,0.6878,0.6018,5.8462,9.6291,38.46,23.08,61.54,53.85,691,237,207,247,34.2981,29.9566,35.7453
621,ROME, AARON,Dallas,D,25,297.283,10,17,2.018,3.431,37.04,2.3079,2.2659,50.46,-0.2896,1.1651,-13.42,-0.2084,1.2044,-12.96,2.0799,2.1529,49.14,129,143,7.7519,88.1119,95.8638,7.7936,92.2534,-0.0417,-4.1415,0.7007,-3.6381,7.4062,92.4547,270,286,54.493,57.723,48.56,-2.8986,1.3986,-1.91,-4.9521,4.5523,-4.22,52.5161,53.884,49.36,3.7037,94.0559,97.7596,4.0213,95.977,-0.3175,-1.921,-0.042,-1.7562,3.9606,96.0046,25.0555,23.2558,34,23.4579,26.6294,27.907,27.5568,22.1198,0,1,1,1,1,14,35,0,0,0,0.2018,0.2018,0.2018,0.2018,2.8256,7.064,0,10,10,10,301,96,97,108,31.8937,32.2259,35.8804
622,DIAZ, RAPHAEL,Calgary,D,119,1473.48,41,46,1.67,1.873,47.13,2.1096,2.2708,48.16,-0.4401,-0.3977,-1.03,-0.455,-0.2372,-3.04,2.0871,2.2103,48.57,637,613,6.4364,92.4959,98.9323,7.6821,92.4385,-1.2457,0.0574,-1.2757,-0.7066,7.3995,92.3794,1272,1348,51.796,54.89,48.55,0.0732,-4.057,1.81,-1.1045,-7.9242,2.83,53.0615,54.613,49.28,3.2233,96.5875,99.8108,4.0787,96.1477,-0.8554,0.4398,-0.7928,-0.0528,3.9333,95.9527,25.8064,21.466,23.5897,25.4044,23.3097,26.1621,23.0151,24.2886,3,8,6,11,9,91,236,3.296703297,1.271186441,0.1222,0.3258,0.2443,0.4479,0.3665,3.7055,9.6099,7.32,19.51,26.83,21.95,1375,478,458,439,34.7636,33.3091,31.9273
623,PROUT, DALTON,Columbus,D,176,2654.82,79,109,1.785,2.463,42.02,2.3112,2.3261,49.84,-0.5258,0.1374,-7.82,-0.6713,0.1016,-8.96,2.1661,2.1965,49.65,1232,1299,6.4123,91.6089,98.0212,8.1006,92.3285,-1.6883,-0.7196,-1.972,-0.7146,7.5502,92.3935,2189,2321,49.472,52.456,48.54,-2.7496,-3.0258,0.05,-3.2694,-3.3545,-0.05,53.8204,54.0638,49.89,3.609,95.3037,98.9127,4.4257,95.8074,-0.8168,-0.5037,-1.0492,-0.4642,4.0247,95.9372,31.8126,25.3205,32.7327,30.4408,30.4833,32.4302,32.1282,31.7341,4,18,8,22,12,175,368,2.285714286,1.086956522,0.0904,0.4068,0.1808,0.4972,0.2712,3.9551,8.317,5.06,22.78,27.85,15.19,2590,926,862,802,35.7529,33.2819,30.9653
624,BOUCHER, REID,New Jersey,F(C),73,823.95,25,35,1.82,2.549,41.67,1.8425,1.9406,48.7,-0.022,0.6081,-7.04,0.1205,0.3566,-2.01,2.2563,2.176,50.91,330,424,7.5758,91.7453,99.3211,7.1713,92.7149,0.4044,-0.9696,0.6097,0.0786,7.686,92.4447,667,707,48.571,51.484,48.54,0.9873,3.0392,-1.01,4.0585,4.5332,-0.12,54.8489,54.0133,50.38,3.7481,95.0495,98.7976,3.8722,95.9941,-0.1241,-0.9446,-0.071,-0.2816,4.1137,95.9714,23.4988,24.7525,26.3158,25.1035,25.196,27.4123,21.6844,22.352,9,11,9,20,18,98,177,9.183673469,5.084745763,0.6554,0.801,0.6554,1.4564,1.3108,7.1364,12.8891,36,44,80,72,742,268,224,250,36.1186,30.1887,33.6927
625,CALVERT, MATT,Columbus,F(LW),185,2320.4,87,84,2.25,2.172,50.88,2.1974,2.4294,47.49,0.0522,-0.2574,3.38,-0.189,-0.3038,1.26,2.2098,2.1958,50.16,1099,1147,7.9163,92.6765,100.5928,7.5925,92.0071,0.3238,0.6694,-0.5272,0.8012,7.6035,92.4107,1965,2085,50.81,53.913,48.52,-1.9427,-1.4414,-0.28,-1.3316,-1.5609,0.07,54.5253,54.1959,50.15,4.4275,95.9712,100.3987,4.1654,95.6112,0.2621,0.36,-0.2494,0.4343,4.0529,95.9483,26.4684,24.9284,24,25.968,25.9167,24.1461,26.9711,27.6943,25,32,19,57,44,247,410,10.12145749,6.097560976,0.6464,0.8274,0.4913,1.4739,1.1377,6.3868,10.6016,28.74,36.78,65.52,50.57,2219,848,756,615,38.2154,34.0694,27.7152
626,HANLEY, JOEL,Montreal,D,10,137.35,8,8,3.495,3.495,50,1.8635,2.2497,45.31,1.6312,1.245,4.69,0.9013,1.42,-5.56,2.2454,2.1812,50.73,69,64,11.5942,87.5,99.0942,6.5289,92.0902,5.0653,-4.5902,2.3917,-5.6034,7.7012,92.2238,113,120,49.363,52.421,48.5,-4.2062,-2.0644,-1.08,-1.6408,-3.7697,0.92,53.8935,52.0202,50.88,7.0796,93.3333,100.4129,3.4787,95.8709,3.6009,-2.5376,1.9949,-2.9744,4.1664,95.807,28.3556,34.7826,40,27.6961,26.9663,32.4503,28.9308,24.4565,0,6,3,6,3,9,16,0,0,0,2.621,1.3105,2.621,1.3105,3.9316,6.9894,0,75,75,37.5,140,45,46,49,32.1429,32.8571,35
627,GILROY, MATT,Florida,D,16,227.8,8,9,2.107,2.371,47.06,2.1562,2.5094,46.21,-0.0491,-0.1389,0.84,0.1299,-0.2658,4.2,2.1062,2.1388,49.62,104,110,7.6923,91.8182,99.5105,7.3965,91.4859,0.2958,0.3323,0.4634,0.7401,7.4178,92.5745,193,205,50.834,53.995,48.49,-1.7784,1.303,-1.47,-1.1233,2.1472,-1.56,53.0662,54.307,49.42,4.1451,95.6098,99.7549,4.0983,95.2375,0.0468,0.3722,0.3396,0.6945,3.9691,96.0617,29.4309,30.7692,27.2727,28.979,30.2806,28.1513,25.2381,26.7717,1,1,1,2,2,22,35,4.545454545,2.857142857,0.2634,0.2634,0.2634,0.5268,0.5268,5.7946,9.2186,12.5,12.5,25,25,188,68,53,67,36.1702,28.1915,35.6383
628,FEDUN, TAYLOR,Vancouver,D,12,162.2,6,7,2.219,2.589,46.15,2.1048,2.2861,47.94,0.1147,0.3033,-1.78,0.7993,0.1751,9.12,2.0342,2.2311,47.69,75,81,8,91.358,99.358,7.2534,92.1102,0.7466,-0.7521,3.2381,-0.0993,7.1229,92.3995,144,153,53.268,56.597,48.48,-2.2576,0.7413,-1.37,-4.2495,1.068,-2.39,54.0481,55.0932,49.52,4.1667,95.4248,99.5915,3.7907,95.9071,0.376,-0.4823,1.6975,-0.2273,3.7638,95.9503,27.7415,37.5,29.1667,26.2295,28.125,27.5281,29.2308,22.439,2,3,1,5,3,13,28,15.38461538,7.142857143,0.7398,1.1097,0.3699,1.8496,1.1097,4.8089,10.3576,33.33,50,83.33,50,152,46,57,49,30.2632,37.5,32.2368
