PLAYER,TEAM,CLAUSE,EXPIRY,AGE,POS,,GP,G,A,P,+/-,TOI,W,L,SO,GAA,Sv%,,SALARY,CAP HIT ▾
117. James Van Riemsdyk,Anaheim Ducks,,UFA,28,LW,,80,30,31,61,0,,-,-,-,-,-,,"$3,750,000","$4,250,000"
118. Patric Hornqvist,Tampa Bay Lightning,,UFA,30,RW,,76,22,31,53,0,,-,-,-,-,-,,"$3,500,000","$4,250,000"
119. Kevin Shattenkirk,San Jose Sharks,,UFA,28,D,,81,10,35,45,0,,-,-,-,-,-,,"$3,300,000","$4,250,000"
120. Jakub Voracek,Nashville Predators,,UFA,27,RW,,82,23,39,62,0,,-,-,-,-,-,,"$4,500,000","$4,250,000"
121. Marc-Edouard Vlasic,New Jersey Devils,NTC,UFA,30,D,,81,5,19,24,0,,-,-,-,-,-,,"$4,250,000","$4,250,000"
122. Loui Eriksson,New Jersey Devils,NTC,UFA,32,"RW, LW",,61,10,27,37,0,,-,-,-,-,-,,"$4,600,000","$4,250,000"
123. Tyler Bozak,New York Rangers,M-NTC,UFA,31,C,,58,19,30,49,0,,-,-,-,-,-,,"$3,500,000","$4,200,000"
124. Brandon Dubinsky,Philadelphia Flyers,,UFA,31,"C, LW",,76,16,34,50,0,,-,-,-,-,-,,"$4,650,000","$4,200,000"
125. Mike Fisher,Washington Capitals,NMC,UFA,37,C,,75,20,29,49,0,,-,-,-,-,-,,"$4,200,000","$4,200,000"
126. T.J. Oshie,Detroit Red Wings,,UFA,30,RW,,79,21,39,60,0,,-,-,-,-,-,,"$4,000,000","$4,175,000"
127. Chris Stewart,New York Rangers,,UFA,29,"RW, LW",,63,15,11,26,0,,-,-,-,-,-,,"$4,100,000","$4,150,000"
128. Mark Giordano,Buffalo Sabres,NMC,UFA,33,D,,64,14,33,47,0,,-,-,-,-,-,,"$4,000,000","$4,020,000"
129. Cam Fowler,Calgary Flames,,UFA,25,D,,70,6,30,36,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
130. Zbynek Michalek,Carolina Hurricanes,M-NTC,UFA,34,D,,59,2,8,10,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
131. Drew Stafford,Vegas Golden Knights,,UFA,31,"RW, LW",,70,16,18,34,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
132. Victor Hedman,Pittsburgh Penguins,,UFA,26,D,,75,13,42,55,0,,-,-,-,-,-,,"$3,000,000","$4,000,000"
133. David Jones,Minnesota Wild,,UFA,32,RW,,48,9,8,17,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
134. Jiri Hudler,Anaheim Ducks,,UFA,33,"LW, RW",,75,17,37,54,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
135. Tim Gleason,Washington Capitals,,UFA,34,D,,56,1,5,6,0,,-,-,-,-,-,,"$4,500,000","$4,000,000"
136. Joe Pavelski,Philadelphia Flyers,,UFA,33,"C, RW",,82,41,38,79,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
137. Roman Josi,Colorado Avalanche,,UFA,27,D,,72,13,27,40,0,,-,-,-,-,-,,"$2,500,000","$4,000,000"
138. Pierre-Alexandre Parenteau,New York Islanders,,UFA,34,RW,,55,14,19,33,0,,-,-,-,-,-,,"$4,000,000","$4,000,000"
139. Adam Henrique,Tampa Bay Lightning,,UFA,27,C,,77,25,18,43,0,,-,-,-,-,-,,"$2,000,000","$4,000,000"
140. Cory Schneider,Calgary Flames,,UFA,31,G,,45,-,-,-,-,-,0,0,0,0.00,.000,,"$4,000,000","$4,000,000"
141. Marc Staal,Arizona Coyotes,,UFA,30,D,,72,3,11,14,0,,-,-,-,-,-,,"$3,875,000","$3,975,000"
142. Wayne Simmonds,Ottawa Senators,,UFA,28,"RW, LW",,82,29,31,60,0,,-,-,-,-,-,,"$2,800,000","$3,975,000"
143. John Carlson,Pittsburgh Penguins,,UFA,27,D,,82,10,27,37,0,,-,-,-,-,-,,"$4,000,000","$3,966,667"
144. Johan Franzen,Calgary Flames,,UFA,37,"RW, LW",,54,16,25,41,0,,-,-,-,-,-,,"$5,000,000","$3,954,545"
145. Ondrej Pavelec,Arizona Coyotes,,UFA,29,G,,57,-,-,-,-,-,0,0,0,0.00,.000,,"$3,500,000","$3,900,000"
146. Josh Gorges,Colorado Avalanche,M-NTC,UFA,32,D,,66,1,13,14,0,,-,-,-,-,-,,"$3,900,000","$3,900,000"
147. Eric Brewer,New York Rangers,M-NTC,UFA,38,D,,77,4,13,17,0,,-,-,-,-,-,,"$4,000,000","$3,875,000"
